tab/language,question,votes,views,answers
php,"Extraer nada más los 4 primeros números de una cadena PHP",0,4,3
php,"Crear condicionales comparando fecha actual con fecha de registro",0,1,1
php,"¿Cómo puedo obtener el GET del editor desde una URL amigable?",0,2,1
php,"Consulta e inserción de datos desde PHP ¿Cual es el error?",1,4,1
php,"Cómo establecer una relación many-to-many en laravel",1,3,2
php,"A que se debe este error: fatal: cannot update the ref 'HEAD': unable to append to '.git/logs/HEAD': Permission denied --en Windows",0,8,0
php,"Ayuda con arrays y sesiones PHP",0,2,1
php,"Consulta editar con PDO",1,2,2
php,"Error con header(location)",0,2,1
php,"validar un numero con javascrip",0,3,4
php,"Error en prepare() de una consulta preparada mysqli en PHP",0,2,0
php,"array_merge dentro de un foreach",5,3,2
php,"Error en consulta preparada de mysqli en PHP",1,1,1
php,"¿Cómo cambiar el scroll actual a uno regular?",0,2,1
php,"porque no redirecciona el formulario php en remoto",0,3,1
php,"¿Cómo acceder a contenido de array?",1,2,1
php,"Como corregir el error Uncaught exception 'PHPExcel_Reader_Exception'",0,1,0
php,"¿Cómo insertar datos después de 48 horas?",4,5,4
php,"¿Encontrar archivo MANIFEST?",0,8,0
php,"Problemas al Instalar Laravel Homestead con Vagrant",0,7,0
php,"recorrer json desde php",2,3,3
php,"Evitar la edición manual de parámetros de la URL en PHP",0,2,0
php,"Página web para compartir codigo o script [en espera]",-1,4,1
php,"No cargan ficheros css",1,4,1
php,"Cambiar raíz de $_SERVER['DOCUMENT_ROOT']",0,1,0
php,"Evitar Warning: POST Content-Length al subir archivo",0,3,1
php,"Multiplicar un echo de PHP",0,4,0
php,"Mostrar tabla de mysql en php,javascrip",1,2,1
php,"Reedireccion de pagina con html",1,2,2
php,"¿como puedo poner un archivo text de sql en php y que me respete los saltos de linea?",0,2,0
php,"Hoja de Estilos no reaccionan: PHP y CSS3",0,2,1
c%23,"formulario “interactivo” en c#",0,8,0
c%23,"Desacoplando AspNet identity",0,8,0
c%23,"Ayuda con metodo buscar y pagedList C# MVC",0,8,0
c%23,"problemas con dataset y reportviewer (mysql)",0,6,0
c%23,"Codigo para tamaño de fuente",0,2,1
c%23,"¿Cómo colocar imagenes en un select?",0,1,1
c%23,"Debo consultar un campo en un tabla y ver si existe un valor",1,3,3
c%23,"Bloquear entrada de teclado y solo perdmitir entrada de lector de codigo de barras",0,4,1
c%23,"¿Cómo mostrar el progreso de un ProgressBar en Winforms haciendo uso de delegados?",0,2,1
c%23,"C# ¿Como Convertir string a System.IO.StreamWriter?",2,2,1
c%23,"Saber si existe un numero dentro de una variable",2,3,2
c%23,"Usar LIKE o LTRIM - SQL",2,2,3
c%23,"Alternativas a la hora de materializar un IEnumerable",0,1,0
c%23,"Fluent NHibernate agregar convencion para nombres de tablas que contienen punto en SQLite",0,1,0
c%23,"¿Cómo puedo convertir un arreglo JSON en una List <T>?",4,4,3
c%23,"Busqueda de Menor no funciona adecuadamente",0,4,2
c%23,"Modificar una celda y guardar su modificacion desde un DataGridView",0,3,3
c%23,"Metodo que recibe datetime nulleable, cambiar formato a MM/dd/yyyy",0,2,2
c%23,"Problemas para crear controlador en Web API C#",0,1,0
c%23,"Consulta ¿Como puedo hacer que un programa en C# lea un txt y por medio de un DatagridView separe por tiempos?",-3,1,0
c%23,"Sumar contenido de filas de un DataGridView y despegarlo en un Textbox",3,3,1
c%23,"Como consumir https json con webform asp.net c#?",0,3,1
c%23,"Cuando leo archivos .csv c# no detecta los valores que contiene",0,4,0
c%23,"Devolver valor JSon en C#",3,3,1
c%23,"Barra de progreso .NET Razor C#",0,2,0
c%23,"Cambiar el contenido de las columnas en DataGridView",0,3,1
c%23,"Continuar un consecutivo C#",0,4,1
c%23,"Problema identificando proceso “ Process[] ”",0,4,3
c%23,"Exportar excel como Hoja de cálculo xml 2003 con epplus",0,1,1
c%23,"comunicacion entre Visual Studio C # y un PLC",0,2,0
c%23,"Como ocultar el link de una pagina en asp?",0,3,1
c%23,"Perceptron de dos entradas",0,2,0
c%23,"Cambiar columna automaticamente EF",0,2,1
c%23,"Web service c# para android studio java",0,3,1
c%23,"No me reconoce la referencia de mi bibilioteca de clases",0,1,0
c%23,"Crear una clase c# desde un xsd",0,1,0
c%23,"Xamarin forms Only the original thread that created a view hierarchy can touch its views",0,2,1
c%23,"Es posible guardar libro de trabajo de excel en vsto c#?",1,1,0
c%23,"como pasar valor de una variable de .cs a una variable de javascript?",0,3,1
c%23,"xsd a clase cs de c# star",0,1,0
c%23,"¿Como puedo filtrar los datos con fechas en C#?",0,3,1
c%23,"tengo un data grid view que lleno desde un select, quiero capturar 2 columnas mas y guardarlo en una tabla en sql, como podria recorrerlo y guardarlo?",-3,1,0
c%23,"Leer xls con eeplus",0,1,0
c%23,"Ejecutar funcion de PHP desde C#",1,5,2
c%23,"¿Cómo consumir WCF (Webservice de C#) en una aplicación de angular 4?",0,3,0
c%23,"Error con registros tipo bit",0,2,0
c%23,"¿Cómo cambiar URL de respuesta en Headers.Location al implementar método POST en Web Api Asp.Net?",0,1,1
c%23,"Xaf - Activar Appearance desde un botón",0,8,0
c%23,"Listview no cambia al añadir elementos",0,4,1
c%23,"Error al Convertir una cadena tipo JSON a Clase en C#",0,4,1
android-studio,"Como parsear Json con retrofit",0,5,0
android-studio,"Como puedo desactivar la pantalla táctil en un método",0,9,1
android-studio,"¿Como hacer una captura de pantalla mediante código? Android Studio",0,1,0
android-studio,"Solo reproduce una cantidad limitada de sonidos",0,9,0
android-studio,"¿Como puedo mostrar las categorías de x productos, las cuales a su vez tienen hijos (subcategorias), y estos tambien tiene hijos? Android studio",0,8,0
android-studio,"¿Como cambiar tamaño de linearlayout con porcentajes en android studio?",0,1,1
android-studio,"¿Cuales son las mejores librerías para mapas offline en android?",-1,1,0
android-studio,"Failed to resolve: com.google.android.gms: play-services: 15.0.1",0,2,0
android-studio,"Notificaciones tiempo real chat en android con firebase",0,2,1
android-studio,"Como trabaja el JobIntentService para Android Oreo y pre Oreo?",0,8,0
android-studio,"activity se reinicia en la opcion de multipantalla [en espera]",0,7,0
android-studio,"¿Como puedo mandar el id de x producto al seleccionar el nombre de x producto en el spinner?",1,3,1
android-studio,"Problema al comparar key y obtener valor en HashMap",0,1,0
android-studio,"como quitar barra de notificaciones?",3,3,2
android-studio,"Imagen del marcador demasiado grande Google Maps",0,3,1
android-studio,"Error en android studio al intentar levantar servicio por BroadcastReceiver android 5.1 lollipop",0,1,0
android-studio,"Por que si un método usa una interfaz como parámetro, al llamar a dicho método desde otra clase hay que implementar dicha interfaz?",0,5,2
android-studio,"Problema al cargar imagenes en un Recyclerview con firebase",0,2,0
android-studio,"Web service c# para android studio java",0,3,1
android-studio,"Porque android studio no detecta mi dispositivo",1,4,2
android-studio,"Abrir WhatsApp desde webview android studio",1,3,1
android-studio,"Por que mi BroadcastReceiver no esta capturando eventos?",0,1,0
android-studio,"¿como pasar datos de un web service a sqlite?",0,1,0
android-studio,"Problemas coger datos de diferentes TextView",0,3,0
android-studio,"¿Porque no me funciona el proyecto visor PDF desarrollado en Android Studio?",0,1,0
android-studio,"android.view.InflateException: Binary XML file line #9: Erro inflating class fragment Caused by:",0,2,1
android-studio,"Como Llenar un ListView con un ArrayAdapter en un Fragment",0,3,1
android-studio,"Intentando generar un apk en Android Studio de una app que incluye CordovaLib migrada de Ionic da error",0,9,0
android-studio,"¿Como hago un switch de dos botones flotantes que vienen de dos fragments?",0,3,1
android-studio,"Me aparece el siguiente error en android studio",-2,3,2
android-studio,"WebService - Problemas AsynTask",0,3,0
android-studio,"Comprobar si un elemento existe dentro de un Array",0,5,1
android-studio,"Usar localstorage o appcache en android con webview para una webapp exportada desde Construct2",0,3,0
android-studio,"Como reconectar un websocket en android?",0,1,1
android-studio,"¿Cómo puedo abrir un vinculo dentro de la misma aplicación en un WebView incluido en un fragment?",0,1,1
android-studio,"Su aplicacion de ha detenido WebView",0,2,0
android-studio,"En una aplicación Android ¿Cómo visualizar un PanoWidget desde un botón con acción on click?",0,1,0
android-studio,"¿Como cargar el detalle de un sitio en un solo fragment?",0,1,0
android-studio,"Android LocationManager usando getLastKnownLocation() no se obtiene valor",1,5,2
android-studio,"ERROR MOSTRANDO DATOS MySQL (ONLINE) EN LISTVIEW",0,2,1
android-studio,"Como mostrar una imagen cuando pasamos de activity en un ListView",0,3,1
android-studio,"¿Como hacer filtro desde Edit text a mi recycler view, que carga los datos desde un Array list hasta el card View?",0,1,0
android-studio,"ACTION_FOUND no obtiene dispositivos",0,7,0
android-studio,"¿Cómo cambiar el Xfrom y el Xto de una animacion Anroid?",-1,4,0
android-studio,"Error app:processDebugResources",1,2,0
android-studio,"Recuperar código APK Android [duplicada]",1,3,0
android-studio,"Facebook web android studio [en espera]",-1,1,0
android-studio,"java.lang.String no lo convierte a JSONObject como lo puedo corregir?",0,1,0
android-studio,"¿Conoceis algun código sencillo para encender la linterna del celular? Android Studio [cerrada]",0,4,1
android-studio,"Como reciclar imagenes",2,6,0
python,"Dibujar la media en un grafico con matplotlib",0,1,1
python,"Método authenticate ha dejado de funcionar",0,2,0
python,"(Overloading) - Sobrecargar Operadores en Python",3,1,1
python,"Error al importar pandas_datareader, “ImportError: cannot import name 'is_list_like'”",0,1,2
python,"Fallo en el cálculo del Coeficiente de correlación",0,1,0
python,"Como identificar valores en un string",0,3,2
python,"Evitar la sobreescritura de variables, SettingWithCopyWarning",1,2,2
python,"Decorador con parametros en Python",2,1,1
python,"¿Cómo crear un marco de datos poco a poco para evitar problemas de memoria?",1,1,0
python,"Como arrojar excepciones usando operador ternario en Python",2,4,2
python,"¿Cómo importar un archivo de Google Drive en un cuaderno de Google Colaboratory?",1,2,1
python,"Error en mi código de Django en la parte de models.py",0,2,1
python,"¿Cómo procesar datos sin que mi kernel muera?",0,3,0
python,"¿Cómo verificar la versión de los modulos instalados?",1,2,1
python,"¿como puedo ver el codigo de la libreria Tkinter en python",0,2,1
python,"Contar las palabras repetidas en un diccionario en Python",1,4,2
python,"Como Escoger Grupo django cuando se registra",0,1,0
python,"Mantener la sesion cuando descarga al capcha",2,1,1
python,"Error UnicodeDecodeError al intentar crear gráfico con Matplotlib",0,1,0
python,"Como extraer las clases encontradas en una captura en tiempo real de object detction con la APi de tensorflow?",0,1,0
python,"Cifrado y descifrado de palabras con Python en Windows",0,1,0
python,"ciclo infinito después de empaquetar con cx_frezee",0,2,0
python,"¿Soy un pythonista y quisiera una opinion profesional? [en espera]",0,3,0
python,"¿Como puedo mandar un archivo por un socket?",2,3,2
python,"Operaciones con fechas",0,4,1
python,"Acceder a una variable de metodo $.ajax",0,1,1
python,"Crear lista de dicconario desde iteracion en ciclo for",0,3,1
python,"Instanciación mediante bucle a partir de datos externos (filas de csv)",2,2,1
python,"Dudas En Python - Parametros de usuario en query - Asignador en python",0,2,1
python,"¿Como paso un json a un diccionario?",2,5,3
python,"django-crispy-forms no me estiliza los campos de valor múltiple",0,6,0
python,"como puedo solucionarlo list index out of range",0,2,1
python,"Python Pandas error “ValueError: can not merge DataFrame with instance of type <class 'list'>”",2,1,1
python,"Calcular Comisiones",0,3,1
python,"No me ejecuta este script",-2,3,0
python,"ConnectionAbortedError, AttributeError: Django",0,9,0
python,"¿Cómo establecer la ruta del guante en un objeto torch.load ()?",0,1,0
python,"Mascaras, coordenadas y loop en Python",0,3,0
python,"¿Cómo hacer la forma más eficiente de contar las ocurrencias de elementos en una lista y generar una advertencia cuando no hay suficiente?",2,4,1
python,"Django URL Reset Password Error",0,1,0
python,"Conectar Python con la base de datos MySQL proporcionada por WAMP Server",1,1,1
python,"¿Es posible descifrar patrones?",-2,3,0
python,"He intentado crear un asistente virtual en pyhton pero al iniciar mi codigo el microfono de mi computadora no lo detecta y termina con -1",0,1,0
python,"¿Cómo dibujar un rectángulo sobre una imagen ya cargada con PIL?",1,3,1
python,"Problema con ejecutar una prueba de katalon en la consola de ubuntu",0,1,0
python,"Pasar codigo de Python a html",0,4,1
python,"Imprimir una n cantidad de datos de un archivo csv PYTHON",0,1,1
python,"¿Como reprocesar la misma informacion cuando la respuesta de un Web Service Genere error?",0,1,0
python,"Use python in a html file [cerrada]",0,1,0
python,"Quiero verificar en Python si una palabra de un input existe en un vector",1,3,2
jquery,"Guardar elemento DOM como IMG",0,1,1
jquery,"Problemas al cargar datepicker dentro de un div col-lg-pull de bootstrap",0,9,1
jquery,"¿Porque me agrega la clase next left en mi carousel de boostrap cuando le indico que me agregue mi clase active en mi carousel de boostrap?",0,2,1
jquery,"¿Cómo cambiar el scroll actual a uno regular?",0,2,1
jquery,"Editar Texto en html",1,5,4
jquery,"recorrer json desde php",2,3,3
jquery,"¿es posible visualizar con drop zone archivos que se encuentren en el servidor?",0,1,0
jquery,"hover con jQuery al dar click en div",2,3,2
jquery,"Hacer una polylinea con jquery gmaps",0,1,0
jquery,"Error al actualizar varios clientes con Socket.io",0,1,1
jquery,"¿como llamar un sweetalert desde un datatable.net?",2,1,2
jquery,"Como consumir https json con webform asp.net c#?",0,3,1
jquery,"Agrupar elementos de un JSON",0,4,2
jquery,"¿Cómo pasar un arreglo vacío por ajax en php?",7,4,3
jquery,"¿Por qué en un evento jQuery de JavaScript el tiempo de ejecución de la primera instrucción cambia según el resto de las instrucciones?",5,5,2
jquery,"porque no se guardan los datos la primera vez que le doy guardar, pero si se guardan la segunda vez?",0,2,0
jquery,"Problemas para recortar bakcground image",1,2,1
jquery,"JSON.parse: unexpected non-whitespace character after JSON data at line 1 column 13 of the JSON data",4,2,1
jquery,"Modificar atributos de elementos HTML creados dinamicamente con JavaScript",1,3,2
jquery,"Carrusel de fotos - prev next - que no considere las display: none",1,3,1
jquery,"¿Cómo coger el resultado de dos declaraciones con JSON y devolverlo?",0,2,2
jquery,"¿Cömo cambiar el estilo de un div que se crea dinámicamente?",1,5,3
jquery,"¿Cómo extraer valor en javascript y funcione en Internet Explorer?",0,3,3
jquery,"¿Cómo hago para recorrer una variable con jQuery o JavaScript puro?",2,5,3
jquery,"Modularizar código jquery",0,2,1
jquery,"¿Cómo mostrar el progreso de una función PHP a través de AJAX?",0,4,1
jquery,"Heredar CSS de Objeto en jQuery",0,3,0
jquery,"Sumar unos minutos al obtenido actualmente",0,2,2
jquery,"No me entra en el IF",0,5,1
jquery,"Script no entra en condicional cuando debería",2,3,1
jquery,"Eliminar elementos de un array en jquery",0,3,2
jquery,"Problemas de logica al agregar campos dinamicos - Ruby On Rails",0,5,1
jquery,"Agregar fila a una tabla con datos desde un modal",1,2,1
jquery,"duda con bootbox alert (jquery) y el llenado de su configuración",1,2,1
jquery,"Alguna forma de que funcione un filtro HTML en Django con datos dinamicos",0,1,2
jquery,"¿Cómo modificar el href de un enlace con JavaScript?",1,3,2
jquery,"Problemas al Contrar Click en un enlace <a> con Php, Jquery",0,5,0
jquery,"Validar JqxCombobox como requerido desde javascript",0,1,0
jquery,"¿Como hago doble click en algun elemento de html y que me direccione a una pagina nueva con javascript?",2,3,1
jquery,"deshabilitar y habilitar “botones” de la etiqueta “a”",1,4,2
jquery,"Pasar variable de js a twig",0,7,0
jquery,"¿Se pueden usar variables en jQuery?",3,4,2
jquery,"¿Como hacer dinámico la agregación de clases a los td de una tabla?",4,4,1
jquery,"SQLite con phonegap",0,8,0
jquery,"Ignorar <input> oculto (hidden) en un formulario",0,4,2
jquery,"Evento para moverme entre secciones de una pagina HTML",0,2,0
jquery,"Al darle click en el boton desaparece los span",1,2,1
jquery,"Javascript no lee funciones, o no funciona si no se pone return false",0,3,1
jquery,"Generar Funcion que calcule cual es el sabado pasado, sabado de la semana en curso y el sabado proximo [cerrada]",0,2,1
jquery,"Animación queda por detrás del menú",1,3,1
